iter	RMSE
0	3958.130591
1	3893.039754
2	3831.255393
3	3771.231165
4	3709.409908
5	3649.609779
6	3591.315822
7	3533.492313
8	3477.479695
9	3422.695042
10	3369.006866
11	3316.585782
12	3264.594916
13	3213.673895
14	3164.241406
15	3115.446517
16	3066.615442
17	3020.814985
18	2973.607141
19	2929.43286
20	2884.692066
21	2841.09943
22	2798.397222
23	2756.737945
24	2716.976354
25	2677.99844
26	2639.440698
27	2600.493491
28	2564.734456
29	2528.445827
30	2492.139993
31	2458.150299
32	2425.514362
33	2392.540711
34	2361.292996
35	2329.256088
36	2298.362726
37	2267.461994
38	2238.154824
39	2210.301031
40	2182.883254
41	2155.454736
42	2127.940949
43	2101.487483
44	2076.704438
45	2051.327766
46	2027.108336
47	2003.064938
48	1977.740199
49	1955.024986
50	1931.436
51	1910.44472
52	1888.025768
53	1867.073823
54	1846.382032
55	1825.59413
56	1806.325753
57	1787.620398
58	1769.30768
59	1751.066972
60	1733.302018
61	1715.975477
62	1698.894476
63	1682.88931
64	1667.424983
65	1650.922237
66	1635.018985
67	1620.728276
68	1607.088442
69	1593.354585
70	1580.266633
71	1566.698504
72	1553.046935
73	1541.144722
74	1528.991949
75	1516.6804
76	1504.59124
77	1494.079135
78	1483.128885
79	1472.665103
80	1462.018735
81	1452.018043
82	1442.006798
83	1432.076279
84	1422.462319
85	1412.852394
86	1403.595431
87	1394.451588
88	1385.434612
89	1376.414401
90	1368.40663
91	1360.034979
92	1351.999035
93	1345.184916
94	1337.810461
95	1331.187916
96	1323.453324
97	1316.361524
98	1310.219226
99	1303.778224
100	1297.458945
101	1291.021223
102	1284.800201
103	1278.952483
104	1273.313582
105	1267.691252
106	1262.422991
107	1257.25469
108	1251.953685
109	1246.577814
110	1241.801492
111	1237.267273
112	1232.306651
113	1227.930369
114	1223.592364
115	1219.127317
116	1215.698111
117	1211.405572
118	1207.559626
119	1203.732166
120	1200.128692
121	1196.96015
122	1193.30572
123	1190.166802
124	1186.748473
125	1183.614256
126	1180.260062
127	1176.963655
128	1174.147698
129	1171.110256
130	1168.377398
131	1165.522085
132	1162.623847
133	1159.823311
134	1157.212182
135	1154.700319
136	1152.028956
137	1149.668612
138	1147.272722
139	1144.662431
140	1142.486311
141	1140.354709
142	1138.499743
143	1136.941277
144	1134.672626
145	1133.021065
146	1130.922459
147	1128.766012
148	1127.212115
149	1125.235481
150	1123.39655
151	1121.772759
152	1119.961886
153	1118.387498
154	1116.881098
155	1115.208778
156	1113.784019
157	1112.524378
158	1111.283624
159	1109.720616
160	1108.411643
161	1107.175209
162	1105.66486
163	1104.514959
164	1103.237966
165	1102.069748
166	1101.029279
167	1099.682442
168	1098.399996
169	1097.438401
170	1096.26115
171	1095.462147
172	1094.226878
173	1093.151907
174	1091.940014
175	1090.950953
176	1089.967392
177	1089.12618
178	1088.180077
179	1087.098244
180	1086.283822
181	1085.438562
182	1084.629218
183	1083.868532
184	1083.229462
185	1082.496282
186	1081.587172
187	1080.729242
188	1079.805078
189	1079.066154
190	1078.163902
191	1077.393232
192	1076.798535
193	1076.07233
194	1075.460735
195	1074.756952
196	1073.985353
197	1072.875185
198	1071.947618
199	1071.217692
200	1070.653282
201	1070.07388
202	1069.344826
203	1068.683743
204	1068.146941
205	1067.51748
206	1067.018853
207	1066.591299
208	1065.998277
209	1065.587792
210	1064.939229
211	1064.488764
212	1064.023539
213	1063.53529
214	1062.855416
215	1062.317996
216	1061.812116
217	1061.334793
218	1060.926116
219	1060.239138
220	1059.79927
221	1059.493904
222	1059.178448
223	1058.762205
224	1058.376914
225	1057.851088
226	1057.470076
227	1057.037164
228	1056.571204
229	1055.997215
230	1055.64467
231	1055.322561
232	1054.846488
233	1054.434732
234	1054.064395
235	1053.891674
236	1053.525913
237	1053.149921
238	1052.837189
239	1052.589832
240	1052.247401
241	1052.151204
242	1051.866136
243	1051.505272
244	1051.260565
245	1050.876762
246	1050.291769
247	1049.999844
248	1049.748204
249	1049.244348
250	1048.96406
251	1048.704933
252	1048.258527
253	1048.049698
254	1047.872804
255	1047.59607
256	1047.124153
257	1046.81861
258	1046.594607
259	1046.348207
260	1045.859904
261	1045.647359
262	1044.992719
263	1044.635934
264	1044.382479
265	1044.210205
266	1044.005475
267	1043.731772
268	1043.490324
269	1043.215286
270	1042.926505
271	1042.648686
272	1042.437233
273	1042.227171
274	1042.027866
275	1041.84917
276	1041.645427
277	1041.260742
278	1040.914316
279	1040.088385
280	1039.894169
281	1039.658864
282	1039.34851
283	1039.263361
284	1038.691826
285	1038.528087
286	1038.283226
287	1038.082839
288	1037.954237
289	1037.691103
290	1037.409981
291	1037.158645
292	1036.954486
293	1036.766642
294	1036.593578
295	1036.365246
296	1036.218719
297	1036.092183
298	1035.862499
299	1035.685858
300	1035.661484
301	1035.46643
302	1035.365322
303	1035.220143
304	1034.87335
305	1034.708393
306	1034.507138
307	1034.314377
308	1034.200159
309	1034.07093
310	1033.92571
311	1033.763915
312	1033.505823
313	1033.331493
314	1033.148729
315	1032.987943
316	1032.808991
317	1032.635026
318	1032.480408
319	1032.34426
320	1032.196676
321	1032.135978
322	1032.008176
323	1031.573124
324	1031.35781
325	1031.215208
326	1031.116564
327	1030.725305
328	1030.624317
329	1030.549182
330	1030.47012
331	1030.289344
332	1030.183029
333	1030.08046
334	1029.980398
335	1029.790444
336	1029.5735
337	1029.30845
338	1029.205759
339	1028.668305
340	1028.478063
341	1028.344577
342	1028.226638
343	1028.121285
344	1028.034697
345	1027.948618
346	1027.778883
347	1027.673068
348	1027.469217
349	1027.315145
350	1027.238176
351	1027.123315
352	1026.980007
353	1026.68746
354	1026.559811
355	1026.22762
356	1026.082652
357	1025.910164
358	1025.763146
359	1025.680891
360	1025.533474
361	1025.402009
362	1025.006596
363	1024.923302
364	1024.803014
365	1024.684492
366	1024.523867
367	1024.444272
368	1024.336238
369	1024.259918
370	1024.161532
371	1024.050397
372	1023.856321
373	1023.678719
374	1023.352151
375	1023.142643
376	1023.052258
377	1022.779193
378	1022.241392
379	1021.961625
380	1021.806368
381	1021.661667
382	1021.53241
383	1021.352895
384	1020.993314
385	1020.920827
386	1020.866513
387	1020.778815
388	1020.717294
389	1020.686007
390	1020.587964
391	1020.480011
392	1020.397106
393	1020.194331
394	1020.026082
395	1019.94897
396	1019.855731
397	1019.609606
398	1019.455073
399	1019.371671
400	1019.293063
401	1019.179608
402	1018.957516
403	1018.879123
404	1018.795217
405	1018.705235
406	1018.633947
407	1018.242204
408	1018.115276
409	1018.020088
410	1017.958857
411	1017.699379
412	1017.661095
413	1017.544725
414	1017.429317
415	1017.29601
416	1017.202036
417	1017.103786
418	1016.970697
419	1016.842516
420	1016.68163
421	1016.606392
422	1016.52439
423	1016.436604
424	1016.214327
425	1016.148191
426	1016.079353
427	1016.01441
428	1015.942939
429	1015.581014
430	1015.528252
431	1015.426321
432	1015.023846
433	1014.881419
434	1014.761717
435	1014.551045
436	1014.466464
437	1014.386779
438	1014.29507
439	1014.16418
440	1014.108714
441	1013.891074
442	1013.765802
443	1013.689529
444	1013.594129
445	1013.222063
446	1013.179347
447	1013.131421
448	1012.956758
449	1012.816824
450	1012.752871
451	1012.709318
452	1012.606896
453	1012.425132
454	1012.153555
455	1012.09083
456	1011.962783
457	1011.813253
458	1011.646879
459	1011.525268
460	1011.446728
461	1011.301424
462	1011.108909
463	1011.062598
464	1010.909605
465	1010.825297
466	1010.800266
467	1010.786128
468	1010.733887
469	1010.633777
470	1010.557735
471	1010.508217
472	1010.42512
473	1010.349585
474	1010.293914
475	1010.194397
476	1010.122221
477	1009.859311
478	1009.753153
479	1009.645297
480	1009.547289
481	1009.496032
482	1009.279874
483	1009.229962
484	1009.146333
485	1009.101229
486	1008.757031
487	1008.709802
488	1008.634861
489	1008.547264
490	1008.388939
491	1008.355727
492	1008.221497
493	1008.112571
494	1008.049684
495	1007.957829
496	1007.887364
497	1007.678956
498	1007.585835
499	1007.539948
500	1007.507781
501	1006.992171
502	1006.902515
503	1006.650788
504	1006.541152
505	1006.450092
506	1006.240027
507	1006.155154
508	1006.096489
509	1006.00545
510	1005.957081
511	1005.828527
512	1005.76922
513	1005.763438
514	1005.702495
515	1005.556017
516	1005.496531
517	1005.391656
518	1005.328627
519	1005.2423
520	1005.206463
521	1005.162901
522	1005.068268
523	1005.030819
524	1004.963032
525	1004.956014
526	1004.768908
527	1004.58614
528	1004.544875
529	1004.438535
530	1004.365547
531	1004.185907
532	1004.05616
533	1003.868456
534	1003.384072
535	1003.160446
536	1003.049089
537	1002.971902
538	1002.912833
539	1002.787293
540	1002.729944
541	1002.578476
542	1002.517605
543	1002.391875
544	1002.386577
545	1002.327484
546	1002.160208
547	1002.06795
548	1001.952425
549	1001.895728
550	1001.773674
551	1001.737762
552	1001.568184
553	1001.520825
554	1001.421802
555	1001.328243
556	1001.297866
557	1001.22525
558	1001.172797
559	1001.153957
560	1001.060593
561	1001.024306
562	1000.968088
563	1000.953291
564	1000.880602
565	1000.752681
566	1000.74654
567	1000.691953
568	1000.578761
569	1000.535535
570	1000.436108
571	1000.387543
572	1000.342747
573	1000.311488
574	1000.180484
575	1000.069024
576	1000.019348
577	999.5519706
578	999.3522353
579	999.1163993
580	999.0296136
581	999.0019729
582	998.9809329
583	998.9421
584	998.8931776
585	998.6454467
586	998.6250629
587	998.5448735
588	998.4323565
589	998.3400222
590	998.2910357
591	998.2503686
592	998.1696543
593	998.1143914
594	998.0608482
595	998.0540755
596	997.9825802
597	997.8860302
598	997.8810881
599	997.7047054
600	997.6643281
601	997.6388034
602	997.4293302
603	997.3855285
604	997.3601009
605	997.2396862
606	997.1803525
607	997.1035657
608	997.0776833
609	997.0306734
610	996.9957819
611	996.879956
612	996.8375948
613	996.8121132
614	996.7445939
615	996.6886471
616	996.6272883
617	996.5930101
618	996.5686828
619	996.4976518
620	996.406036
621	996.3402068
622	996.2692438
623	996.1883292
624	996.1638062
625	996.0660305
626	996.0402794
627	995.973619
628	995.9355434
629	995.9027042
630	995.8161958
631	995.7078639
632	995.6434613
633	995.6220015
634	995.5823213
635	995.5591185
636	995.5024329
637	995.4242979
638	995.2868879
639	995.1191242
640	995.0490397
641	995.0207658
642	994.9207966
643	994.9048248
644	994.7435053
645	994.7172623
646	994.713274
647	994.5203633
648	994.4585466
649	994.3882993
650	994.3235485
651	994.3186518
652	994.3030747
653	994.2741392
654	994.1416681
655	993.9856566
656	993.9274432
657	993.7176803
658	993.7023905
659	993.5731348
660	993.5581155
661	993.3666677
662	993.33133
663	993.3208285
664	993.3006536
665	993.2727322
666	993.1384393
667	993.0913819
668	993.0314812
669	992.8353372
670	992.8130786
671	992.7917806
672	992.7709734
673	992.6786433
674	992.5601226
675	992.4967057
676	992.370348
677	992.2522202
678	992.2478462
679	992.2266524
680	992.1387231
681	992.1161588
682	992.1020788
683	992.0606487
684	992.0273803
685	991.9257116
686	991.8835943
687	991.8795683
688	991.7585888
689	991.661236
690	991.6074978
691	991.4589961
692	991.4473252
693	991.4432997
694	991.4144751
695	991.2781197
696	991.2585085
697	991.2052912
698	991.1183768
699	991.087333
700	991.0333066
701	990.9482742
702	990.6799486
703	990.5649454
704	990.4484374
705	990.4446495
706	990.429983
707	990.3757427
708	990.1929007
709	990.154611
710	990.0907502
711	989.8294722
712	989.6529017
713	989.5539896
714	989.5043665
715	989.4623463
716	989.4513331
717	989.4390564
718	989.3325734
719	989.192227
720	989.1576598
721	989.1078578
722	988.9716057
723	988.9614062
724	988.9233842
725	988.8681016
726	988.8092575
727	988.7217713
728	988.6752251
729	988.5717845
730	988.5366712
731	988.5097452
732	988.4863843
733	988.4383815
734	988.1840285
735	987.8694233
736	987.7686521
737	987.662829
738	987.6109579
739	987.5993947
740	987.5045382
741	987.4813738
742	987.2425411
743	987.1479231
744	987.1263592
745	987.0651441
746	987.0427266
747	986.9403026
748	986.9129077
749	986.8386004
750	986.7283554
751	986.7138896
752	986.6068452
753	986.6042283
754	986.3728934
755	986.3272716
756	986.2786255
757	986.2760348
758	986.1583336
759	986.055833
760	986.0336417
761	986.0230125
762	985.8678056
763	985.7518046
764	985.7098947
765	985.5595871
766	985.5475445
767	985.4239807
768	985.3187228
769	985.2249306
770	985.0727915
771	985.0696723
772	984.9140248
773	984.9110113
774	984.8036395
775	984.7829917
776	984.6547481
777	984.2976397
778	984.156018
779	984.1359049
780	983.8567493
781	983.8501507
782	983.8475154
783	983.7950331
784	983.7459832
785	983.7265475
786	983.5280126
787	983.4845821
788	983.4645632
789	983.459259
790	983.2670119
791	983.1994743
792	983.1686805
793	983.0709748
794	983.0054958
795	983.0023007
796	982.9503562
797	982.9324744
798	982.7917644
799	982.693679
800	982.5717751
801	982.452169
802	982.2723945
803	982.2550157
804	982.2165277
805	982.0955788
806	982.0880193
807	982.0849394
808	982.0821458
809	981.9881045
810	981.9471197
811	981.9284055
812	981.850151
813	981.6759555
814	981.5928091
815	981.5902894
816	981.4216732
817	981.3221462
818	981.2291029
819	981.2086722
820	981.2064201
821	981.0784138
822	980.990027
823	980.9000732
824	980.8873613
825	980.7849789
826	980.6036312
827	980.5774314
828	980.498678
829	980.457545
830	980.3704785
831	980.2956926
832	979.9526765
833	979.9166147
834	979.8000265
835	979.7416142
836	979.6561388
837	979.654219
838	979.5845141
839	979.5407712
840	979.503332
841	979.5014516
842	979.4348412
843	979.4329794
844	979.4155287
845	979.38219
846	979.2628156
847	979.2535193
848	979.2264878
849	979.1424779
850	978.936774
851	978.8720391
852	978.8386724
853	978.8222623
854	978.667479
855	978.6587239
856	978.4819928
857	978.4489864
858	978.4305657
859	978.4147689
860	978.3953512
861	978.319343
862	978.3076943
863	978.2981287
864	978.2887337
865	978.2285911
866	978.2224159
867	978.1694482
868	978.0765615
869	978.0516697
870	978.0159074
871	977.9844803
872	977.9736095
873	977.9647788
874	977.8817772
875	977.8798365
876	977.7656487
877	977.7039439
878	977.5490033
879	977.4669496
880	977.4616862
881	977.3961502
882	977.2924965
883	977.149212
884	976.986983
885	976.9785847
886	976.9684698
887	976.8253919
888	976.7888473
889	976.7120081
890	976.7039822
891	976.6994159
892	976.6131379
893	976.2871289
894	976.2818402
895	976.2635175
896	976.2556857
897	976.2539301
898	976.252196
899	976.1776433
900	976.1073971
901	976.0629112
902	976.0129624
903	975.9262556
904	975.8761905
905	975.8744718
906	975.7933441
907	975.6553331
908	975.6295316
909	975.4395373
910	975.4381447
911	975.3178246
912	975.250216
913	975.1052671
914	975.099663
915	974.9944259
916	974.9168477
917	974.6003769
918	974.5938489
919	974.4081792
920	974.2419672
921	974.1050969
922	974.0025465
923	973.9402234
924	973.8630785
925	973.7830322
926	973.7140818
927	973.6299417
928	973.6227287
929	973.6211219
930	973.5504112
931	973.5499921
932	973.443259
933	973.4419569
934	973.4284668
935	973.4221324
936	973.4091887
937	973.3939761
938	973.2320499
939	973.1925766
940	973.1787174
941	973.1491947
942	973.0921889
943	972.9766094
944	972.9141499
945	972.899351
946	972.8423609
947	972.7706548
948	972.7093686
949	972.6362932
950	972.6347557
951	972.3337523
952	972.3325005
953	972.3278775
954	972.3266513
955	972.2820869
956	972.2759918
957	972.244742
958	972.1865295
959	972.13149
960	972.0705595
961	972.0661229
962	971.9534132
963	971.8966546
964	971.8271829
965	971.7184255
966	971.7121053
967	971.7043704
968	971.7031862
969	971.6722962
970	971.609186
971	971.6077664
972	971.6063641
973	971.5989815
974	971.5930022
975	971.5869655
976	971.5209383
977	971.5072883
978	971.4150711
979	971.4075243
980	971.4061956
981	971.4019874
982	971.3487644
983	971.327938
984	971.2812521
985	971.2200784
986	971.1855544
987	971.1260391
988	971.1119046
989	970.9654368
990	970.9388433
991	970.9312965
992	970.8552795
993	970.7904242
994	970.7891603
995	970.7108888
996	970.7052558
997	970.6248828
998	970.5635439
999	970.5341119
