iter	Passed	Remaining
0	1	1142
1	1	924
2	2	968
3	3	952
4	4	963
5	5	977
6	6	987
7	7	989
8	8	977
9	9	979
10	10	982
11	12	988
12	13	992
13	14	1001
14	15	1007
15	16	1006
16	17	1003
17	18	1001
18	19	1002
19	20	1007
20	21	1004
21	22	992
22	23	989
23	24	993
24	25	991
25	26	993
26	27	997
27	28	996
28	29	998
29	30	1000
30	31	998
31	33	998
32	34	999
33	35	1001
34	36	1005
35	37	1009
36	38	1004
37	39	1001
38	40	998
39	41	997
40	42	996
41	44	1005
42	45	1004
43	46	1002
44	47	999
45	48	996
46	48	991
47	49	988
48	50	987
49	51	985
50	52	982
51	53	980
52	54	977
53	55	974
54	56	974
55	57	977
56	59	979
57	59	973
58	60	971
59	61	970
60	62	965
61	63	964
62	64	963
63	65	963
64	66	962
65	67	960
66	68	957
67	69	956
68	70	956
69	71	954
70	72	955
71	73	952
72	74	949
73	75	947
74	76	945
75	77	943
76	78	945
77	79	943
78	80	943
79	81	942
80	83	943
81	84	942
82	85	941
83	86	943
84	87	944
85	88	945
86	89	943
87	90	941
88	91	939
89	92	938
90	93	937
91	94	936
92	95	934
93	96	932
94	97	931
95	98	930
96	99	928
97	100	927
98	101	926
99	102	925
100	103	922
101	104	922
102	105	922
103	106	920
104	107	919
105	108	917
106	109	914
107	110	912
108	111	910
109	112	908
110	113	906
111	114	908
112	115	906
113	116	903
114	117	901
115	118	899
116	118	897
117	119	894
118	120	892
119	121	890
120	122	888
121	123	886
122	124	885
123	125	883
124	125	881
125	126	879
126	127	876
127	128	874
128	129	873
129	130	870
130	131	869
131	131	866
132	132	865
133	133	863
134	134	861
135	135	860
136	136	857
137	137	855
138	137	853
139	138	851
140	139	849
141	140	848
142	141	847
143	142	845
144	143	843
145	143	841
146	144	839
147	145	837
148	146	835
149	147	833
150	148	832
151	148	830
152	149	829
153	150	827
154	151	825
155	152	823
156	153	822
157	153	820
158	154	818
159	155	817
160	156	815
161	157	814
162	158	813
163	159	811
164	159	808
165	160	806
166	161	804
167	162	803
168	162	801
169	163	800
170	164	798
171	165	796
172	166	795
173	167	794
174	168	792
175	168	790
176	169	788
177	170	787
178	171	785
179	172	783
180	172	782
181	173	781
182	174	779
183	175	777
184	176	776
185	177	775
186	178	774
187	179	773
188	179	771
189	180	769
190	181	768
191	182	767
192	183	765
193	184	764
194	184	763
195	185	761
196	186	759
197	187	758
198	188	757
199	189	756
200	189	754
201	190	753
202	191	752
203	192	750
204	193	749
205	194	748
206	194	746
207	195	745
208	196	744
209	197	743
210	198	741
211	199	739
212	199	738
213	200	737
214	201	736
215	202	735
216	203	734
217	204	733
218	205	731
219	205	729
220	206	728
221	207	725
222	207	724
223	208	723
224	209	722
225	210	721
226	211	720
227	212	718
228	213	717
229	214	716
230	214	715
231	215	713
232	216	712
233	217	711
234	218	710
235	219	709
236	219	708
237	220	706
238	221	705
239	222	704
240	223	703
241	224	702
242	225	701
243	225	699
244	226	698
245	227	697
246	228	695
247	229	694
248	230	693
249	230	692
250	231	691
251	232	690
252	233	689
253	234	687
254	235	686
255	235	685
256	236	684
257	237	683
258	238	681
259	238	679
260	239	678
261	240	677
262	241	676
263	242	675
264	243	674
265	243	672
266	244	671
267	245	670
268	246	668
269	247	667
270	247	666
271	248	665
272	249	664
273	250	663
274	251	662
275	252	661
276	253	660
277	253	659
278	254	658
279	255	657
280	256	656
281	257	654
282	258	654
283	259	652
284	259	651
285	260	650
286	261	649
287	262	648
288	263	647
289	264	646
290	264	645
291	265	644
292	266	642
293	267	641
294	268	641
295	269	640
296	270	639
297	270	638
298	271	637
299	272	636
300	273	635
301	274	634
302	275	633
303	276	632
304	277	631
305	277	630
306	278	629
307	279	627
308	280	626
309	281	625
310	281	624
311	282	623
312	283	622
313	284	621
314	285	620
315	286	619
316	287	618
317	287	617
318	288	616
319	289	615
320	290	614
321	291	613
322	292	612
323	293	611
324	293	610
325	294	609
326	295	608
327	296	607
328	297	606
329	298	605
330	299	604
331	300	603
332	301	602
333	301	601
334	302	601
335	303	600
336	304	599
337	305	598
338	306	597
339	307	596
340	308	595
341	308	594
342	309	593
343	310	592
344	311	591
345	312	590
346	312	588
347	313	587
348	314	586
349	315	585
350	316	584
351	316	583
352	317	582
353	318	581
354	319	580
355	320	579
356	321	578
357	321	577
358	322	576
359	323	575
360	324	574
361	325	573
362	326	572
363	326	571
364	327	569
365	328	568
366	329	568
367	330	567
368	331	566
369	331	564
370	332	563
371	333	562
372	334	561
373	334	560
374	335	559
375	336	558
376	337	557
377	338	556
378	339	556
379	340	554
380	340	553
381	341	552
382	342	551
383	343	550
384	344	550
385	345	549
386	346	548
387	346	547
388	347	546
389	348	545
390	349	544
391	350	543
392	351	542
393	352	541
394	352	540
395	353	539
396	354	538
397	355	537
398	356	536
399	357	535
400	357	534
401	358	533
402	359	532
403	360	531
404	361	530
405	361	529
406	362	528
407	363	527
408	364	526
409	365	525
410	366	524
411	366	523
412	367	522
413	368	521
414	369	520
415	370	519
416	371	518
417	371	517
418	372	516
419	373	516
420	374	515
421	375	514
422	376	513
423	376	512
424	377	511
425	378	510
426	379	509
427	380	508
428	381	507
429	381	506
430	382	505
431	383	504
432	384	503
433	385	502
434	386	501
435	387	500
436	388	499
437	388	498
438	389	498
439	390	497
440	391	496
441	392	495
442	393	494
443	393	493
444	394	492
445	395	491
446	396	490
447	397	489
448	397	487
449	398	486
450	399	486
451	400	485
452	400	484
453	401	483
454	402	482
455	403	481
456	404	480
457	405	479
458	406	478
459	406	477
460	407	476
461	408	475
462	409	474
463	410	473
464	411	472
465	412	472
466	412	471
467	413	470
468	414	469
469	415	468
470	415	467
471	416	466
472	417	465
473	418	464
474	419	463
475	419	462
476	420	461
477	421	460
478	422	459
479	423	458
480	424	457
481	424	456
482	425	455
483	426	454
484	427	453
485	428	452
486	428	451
487	429	450
488	430	449
489	431	448
490	431	447
491	432	446
492	433	445
493	434	444
494	435	443
495	435	443
496	436	442
497	437	441
498	438	440
499	439	439
500	440	438
501	440	437
502	441	436
503	442	435
504	443	434
505	444	433
506	445	432
507	445	431
508	446	430
509	447	429
510	448	428
511	449	428
512	449	427
513	450	426
514	451	425
515	452	424
516	453	423
517	454	422
518	454	421
519	455	420
520	456	419
521	457	419
522	458	418
523	459	417
524	460	416
525	460	415
526	461	414
527	462	413
528	463	412
529	463	411
530	464	410
531	465	409
532	466	408
533	467	407
534	467	406
535	468	405
536	469	404
537	470	403
538	471	402
539	471	401
540	472	401
541	473	400
542	474	399
543	475	398
544	476	397
545	476	396
546	477	395
547	478	394
548	479	393
549	480	392
550	480	391
551	481	391
552	482	390
553	483	389
554	484	388
555	485	387
556	485	386
557	486	385
558	487	384
559	488	383
560	488	382
561	489	381
562	490	380
563	491	379
564	492	378
565	493	378
566	493	377
567	494	376
568	495	375
569	496	374
570	497	373
571	497	372
572	498	371
573	499	370
574	500	369
575	501	368
576	502	368
577	502	367
578	503	366
579	504	365
580	505	364
581	506	363
582	506	362
583	507	361
584	508	360
585	509	359
586	510	359
587	511	358
588	511	357
589	512	356
590	513	355
591	514	354
592	515	353
593	516	352
594	517	351
595	517	351
596	518	350
597	519	349
598	520	348
599	521	347
600	522	346
601	522	345
602	523	344
603	524	343
604	525	342
605	526	342
606	526	341
607	527	340
608	528	339
609	529	338
610	530	337
611	531	336
612	531	335
613	532	334
614	533	333
615	534	333
616	535	332
617	535	331
618	536	330
619	537	329
620	538	328
621	539	327
622	539	326
623	540	325
624	541	324
625	542	323
626	543	323
627	543	322
628	544	321
629	545	320
630	546	319
631	547	318
632	548	317
633	549	316
634	549	316
635	550	315
636	551	314
637	552	313
638	553	312
639	553	311
640	554	310
641	555	309
642	556	308
643	557	308
644	558	307
645	558	306
646	559	305
647	560	304
648	561	303
649	562	302
650	563	301
651	563	301
652	564	300
653	565	299
654	566	298
655	567	297
656	568	296
657	568	295
658	569	294
659	570	293
660	571	293
661	572	292
662	573	291
663	573	290
664	574	289
665	575	288
666	576	287
667	577	286
668	577	285
669	578	285
670	579	284
671	580	283
672	581	282
673	582	281
674	583	280
675	584	279
676	584	279
677	585	278
678	586	277
679	587	276
680	588	275
681	589	274
682	589	273
683	590	272
684	591	272
685	592	271
686	593	270
687	594	269
688	595	268
689	595	267
690	596	266
691	597	266
692	598	265
693	599	264
694	600	263
695	601	262
696	601	261
697	602	260
698	603	259
699	604	258
700	605	258
701	605	257
702	606	256
703	607	255
704	608	254
705	609	253
706	609	252
707	610	251
708	611	250
709	612	250
710	613	249
711	613	248
712	614	247
713	615	246
714	616	245
715	617	244
716	618	243
717	618	243
718	619	242
719	620	241
720	621	240
721	622	239
722	623	238
723	623	237
724	624	236
725	625	236
726	626	235
727	627	234
728	627	233
729	628	232
730	629	231
731	630	230
732	631	229
733	632	229
734	632	228
735	633	227
736	634	226
737	635	225
738	635	224
739	636	223
740	637	222
741	638	222
742	639	221
743	640	220
744	641	219
745	642	218
746	642	217
747	643	216
748	644	216
